,claim,label
6057,picture shows singapore hospital converting car park into wards during covid-19 pandemic,1
45,"Vaccines for COVID-19 are not officially licensed, there is no yellow card for these vaccines and according to the CDC and Coreper we have 40,000 deaths from these vaccines in the European Union.",1
862,Finland has patented a drug for covid-19 in the United States containing hydroxychloroquine and ivermectin,1
5554,All employees of a Punjab National Bank branch at Ghaziabadâ€™s Loni have been found corona positive.,1
220,"In Australia, thousands of children are vaccinated at the stadium in the absence of their parents.",1
915,Brazil has became part of the elite of only five countries that produce vaccine against Covid in the world,1
5290,The CDC issued a stringent set of rules that U.S. schools must follow before reopening amid the COVID-19 coronavirus pandemic.,1
5854,venezuelan cross the border with colombia amid the pandemic coronavirus,1
6058,countries without quarantine: south korea,1
5553,Japanese schools have reopened,1
5853,Jordanian shotgun killed while celebrating his recovery from Corona virus - 1 TITLE,1
6325,more than 860 million students are not going to school for the coronavirus,1
6055,sandra the orangutan started washing her hands after she noticed zookeepers doing so during the covid-19 pandemic.,1
6014,prince charles was cured of covid-19 with ayurveda,1
5755,"the trump administration awarded a $55 million contract to a ""bankrupt company"" with no employees to supply n95 masks that it doesn't make.",1
460,A publication on Facebook compares the numbers of deaths from Covid-19 and deaths from other causes in Portugal in the period between June 1st and July 15th.,1
427,A publication on Facebook compares the numbers of deaths from Covid-19 and deaths from other causes in Portugal in the period between June 1st and July 15th.,1
5756,"the government's corona measures were unnecessary and ineffective showing the reproduction number of the virus - PARTLY WRONG. TO ASSESS THE EFFECTIVENESS AND NECESSITY OF CORONA MEASURES BASED SOLELY ON THE REPRODUCTION NUMBER, FALLS SHORT.",1
913,"According to the United States Centers for Disease Control and Prevention (CDC), 3,150 or 2.7% of people who received the Pfizer-BioNTech COVID-19 vaccine were â€œunable to perform normal daily activities, unable to work.â€",1
6380,The 2020 U.S. presidential election could be postponed if the coronavirus pandemic threatens to keep people from voting.,1
264,"Image shows Ron DeSantis with a T-shirt that critiques masks, Biden",1
428,We have half as many seriously ill patients [from coronavirus] than 4 weeks ago,1
873,Video shows disorderly Covid-19 vaccination queues in China.,1
5269,The US FDA has approved remdesivir as a treatment for COVID-19.,1
5757,johns hopkins is the source of a list of points on the novel coronavirus,1
5758,there are only 77 beds available in mexico city for covid-19,1
5836,"medicare is paying hospitals $13,000 for patients admitted with covid-19 diagnoses and $39,000 if those patients are placed on ventilators.",1
495,"â€œAsturias already has more than 60% of its population with a complete vaccination schedule. In other words, at the level of Israel, the country in the world with the highest percentage of the population with a complete guideline """,1
5815,Facebook claims that a large group of migrants stood close together in Mannheim during a transport - despite the Corona measures.,1
880,The Philippines ranks 2nd in COVID-19 vaccine rollout in Southeast Asia in terms of number of vaccines administered.,1
5596,Rebels burn trucks carrying COVID-19 goods in the Philippines,1
7,Australian MP Craig Kelly has leaked a secret list of the real side effects of the COVID-19 vaccine.,1
11,UKâ€™s leading magazine â€˜British Heraldâ€™ had recently recognised PM Narendra Modi as the â€œWorldâ€™s Most Powerful Personâ€ in the context of COVID-19,1
5774,singapore has started enforcing spot fines for people who flout certain social distancing regulations during the novel coronavirus pandemic.,1
902,You shouldnâ€™t be visiting countries on the amber list for holidays.,1
678,Vaccines don't work because 10000 COVID Infections Reported in Fully Vaccinated People So Far CDC Says.,1
443,"â€œWeâ€™ve inoculated over 160 million people, 85% of people over the age of 50.â€",1
6032,italian tv showed that coronavirus was created in a laboratory in 2015,1
23,"â€œAll the autonomous communities have hired more teachers to face the school year. All but three: Murcia, Madrid and Andalusia. """,1
677,Researchers at IIT Kanpur have predicted that the third wave of Covid-19 will hit India from July 15.,1
5547,Dutch restaurants solved the problem of dining out during the COVID-19 coronavirus disease pandemic by installing personal greenhouse booths.,1
5297,"Sen. Mitch McConnell ""doesnâ€™t want to pass what he calls â€˜Blue State Bailouts,â€™ even though Kentucky would get badly needed help, too. Itâ€™s why he said we should just declare bankruptcy.â€",1
5298,COVID-19 is not a major cause of death.,1
490,Ivermectin is an effective treatment for COVID-19,1
284,There were 14 deaths in children aged 12 to 17 who had the Pfizer Covid-19 vaccine.,1
698,US senators have said the coronavirus is a lie.,1
6353,Video shows body bags of coronavirus victims in Italy,1
886,"In Uttar Pradesh, bodies of people who died of corona are being thrown in garbage vans.",1
5779,"CEOs of companies like disney, microsoft, ibm, uber, linkedin have resigned due to the covid-19 pandemic.",1
6092,"this picture shows trucks carrying dead bodies of covid-19 victims and the accompanying post implies it is in italy. - THIS PICTURE WAS TAKEN IN PARIS AND THE TRUCKS ARE NOT CARRYING DEAD BODIES. HOWEVER, ITALY HAS HAD TO USE MILITARY TRUCKS TO MOVE BODIES DURING THE CRISIS.",1
639,A COVID-19 clinic in Toronto lured children to accept a vaccination without parental consent by offering ice cream.,1
6368,Carrefour Spain opens from 7am to 8am for over 60 years coronavirus 65,1
237,"There have been over 500,000 cases of adverse events in the U.S. and Europe, half of which are serious. There have also been 15,000 deaths due to COVID-19 vaccines.",1
5783,"before the novel coronavirus pandemic hit the globe, nigeria spent 42% of its earnings on debt servicing.",1
6367,"A Korean film of 2013 is named ""Coronavirus""",1
446,The U.S. military has had more deaths by suicide than by COVID-19.,1
26,"The president of the Tokyo Medical Association holds a live press conference recommending #ivermectin to all doctors, for all covid patients. The government of Japan is one of the most conservative and cautious in the world. The data is clear. Great news",1
270,Video shows physical Covid-19 vaccine cards issued by Malaysian government,1
898,"""Fauci knew [COVID-19] was likely engineered.""",1
6051,"â€œâ€™against the background of the severe epidemiological situation in america, the russian side offered assistance in the form of medical equipment and protective equipment,â€™ he [peskov] said, noting that the u.s. president gratefully accepted this humanitarian assistance.â€",1
874,Cover of the Wall Street Journal (...) tells how the Brazilian economy returned to the level before Covid-19,1
6359,The large EU countries are adopting the same measures of Italy against the coronavirus?,1
226,Sri Lanka recorded the highest global Covid-19 fatality rate on August 8,1
889,"In Uttar Pradesh, bodies of people who died of corona are being thrown in garbage vans.",1
5563,Video shows Koran recitation as part of the Italian government's effort to fight COVID-19 pandemic,1
875,India has two made in India vaccines that are currently being given to its citizens,1
295,Videos published in July show 79 people in the U.K. got blood clots after receiving the COVID-19 vaccine of AstraZeneca,1
5286,The deaths of 131 care workers have involved Covid-19.,1
665,"Data from the European Medicines Agency (EMA) show that 15,472 deaths have occurred from the 4 COVID-19 vaccines available in Europe.",1
6336,"Cuba has Interferon Alpha 2B, cure, vaccine coronavirus",1
464,Post-vaccination deaths reported to VAERS are caused by the vaccine,1
6023,people praying at the hazrat nizamuddin mosque in delhi were sneezing on purpose to spread the novel coronavirus.,1
467,60% of people hospitalized for coronavirus in hospitals in the UK have had both doses of the COVID-19 vaccine.,1
12,"Several observers say that the implementing decree for the law imposing vaccination on caregivers has not been published, rendering the text inapplicable.",1
630,British Airways pilots have died of the Covid-19 vaccine in the last seven day.,1
878,"Cover of this week""s Wall Street Journal, highlighting the recovery of the Brazilian economy abroad and the 1.2% growth in the first quarter of this year!",1
6025,an uninsured 17-year-old boy died of covid-19 symptoms after being refused care due to a lack of medical insurance.,1
31,Bill Gates called for withdrawal of COVID-19 vaccines.,1
5601,The U.S. economic downturn due to the COVID-19 coronavirus pandemic in early 2020 was forcing the United States Postal Service to close.,1
632,President Duterte said the government has to stick to the status quo of mandatory use of face shield indoors and outdoors.,1
5772,"u.s. millionaires will each receive an average of $1.7 million in stimulus payments via the march 2020 coronavirus aid, relief, and economic security (cares) act.",1
5802,a charitable hospital in pakistan charged patients for novel coronavirus tests.,1
6358,A list documents U.S. President Donald Trump's various statements about the spread of COVID-19 coronavirus disease.,1
647,Doctors in the Philippines may prescribe ivermectin to COVID-19 patients.,1
5550,Man killed by COVID-19 at his home in BogotÃ¡,1
273,"The RKI only counts a positive PCR test as a vaccination breakthrough if the tested person shows clinical symptoms. Unvaccinated people, on the other hand, would be counted as new corona cases if they had a positive test result, regardless of whether they showed symptoms or not.",1
904,"Thousands of pages of redacted emails to and from Dr. Anthony Fauci are now publicly available, thanks to journalistsâ€™ Freedom of Information Act requests. Some of those messages have been distorted in viral posts, particularly about face masks, the origins of the coronavirus and the effectiveness of hydroxychloroquine.",1
5279,"â€œIs it 2 that I ..? Donâ€™t hold your breath!â€ â€“ Writing on a sign in photo of Ramzan Kadyrov, head of the Chechen Republic",1
6340,â€œThis is a pandemic. I felt it was a pandemic long before it was called a pandemic.â€ - here's what he's said,1
666,Researchers at IIT Kanpur have predicted that the third wave of Covid-19 will hit India from July 15.,1
5663,"Masks against coronavirus 96 cents will be sold in tobacco shops in Spain, 5 euros in France",1
6111,this is the list of community soup kitchens opened in bogotÃ¡,1
6242,assam has been completely locked down due to covid-19,1
794,Brazil has became part of the elite of only five countries that produce vaccine against Covid in the world,1
791,"Thousands of pages of redacted emails to and from Dr. Anthony Fauci are now publicly available, thanks to journalistsâ€™ Freedom of Information Act requests. Some of those messages have been distorted in viral posts, particularly about face masks, the origins of the coronavirus and the effectiveness of hydroxychloroquine.",1
107,"Presidents, governors, doctors largely all vaccinated, those dying aren't",1
5974,australian researchers found that parasite cure covid-19,1
5692,"Under U.S. President Donald Trump, federal authorities are confiscating orders of personal protective equipment (PPE) from local governments amid the COVID-19 pandemic.",1
5691,"The Philippines has fewer COVID-19 cases compared to less populated Italy because of Rodrigo Duterte's ""immediate response"" to the pandemic",1
5972,"coronavirus gone in south korea and under control in japan, restrictions in philippines are too relaxed",1
6229,cnbc has reported that covid-19 survives in the air for 8 hours; paper and plastic for 3-4 hours,1
5689,Video shows Koran recitation as part of the Italian government's effort to fight COVID-19 pandemic,1
114,Getting vaccinated against Covid-19 prevents you from receiving life insurance benefits.,1
6227,japanese drug avigan is effective medicine against covid-19,1
5687,"U.S. citizens married to immigrants will not receive stimulus checks via the March 2020 Coronavirus Aid, Relief, and Economic Security (CARES) Act.",1
785,WHO data showed that the number of side effects and deaths after Covid-19 vaccinations rose sharply between March and May.,1
737,COVID-19 spared the Amish community.,1
339,"Sweden is the counterpoint of a frightened and uninformed Europe. Shows that it is possible to reduce deaths without lockdown and indiscriminate ""stay at home""!",1
5918,picture is of lockdown violators cleaning a lake as punishment given by karnataka police.,1
118,"There has been an increase in infections in Israel, so COVID-19 vaccines have not worked as expected.",1
376,Most Covid-19 deaths in England are in the vaccinated,1
6244,china develops covid-19 vaccine,1
334,The Australian government has admitted Covid-19 vaccines are a poison.,1
6247,roseburg veterans affairs issued coronavirus information flyer,1
5699,"Is the ""state of emergency"" in Portugal ""supposed to be prolonged""?",1
5898,"hello friends with this audio i want to analyze with you the recording of a retainer of the policemen during checks on the situation of the coronavirus, we will see how a person responds in total compliance with the law to avoid having to sign a self forcibly totally illegitimate and even illegal - THINGS ARE NOT EXACTLY AS WE ARE TOLD. THERE IS A MEDICAL EMERGENCY IN PROGRESS, WITH VARIOUS LIMITATIONS IMPOSED TO CITIZENS, LIMITATIONS THAT MUST BE ENFORCED BY THE POLICE. THE POLICEMAN THAT WE HEAR IN THE AUDIO IS ONLY TRYING TO ENFORCE THESE RESTRICTIONS. IT DOES SO WITH THE ONLY TOOL AT ITS DISPOSAL, THE SELF-CERTIFICATION REQUEST. THE POLICEMAN DOES NOT HAVE TO JUSTIFY HIS REQUEST FOR DOCUMENTATION TO CITIZENS.",1
193,The rise in Covid-19 contamination in Iceland shows the weakness of vaccine protection,1
5899,all hotels in las vegas have made donations to help emergency personnel in the city except for one: trump international hotel.,1
192,Denmark will lift all Covid-19 restrictions.,1
6144,"u.s. president donald trump said state governors must ""treat me well"" in order to obtain masks and ventilators from federal reserves.",1
5985,"the capital of ParanÃ¡, Curitiba, had no deaths from the new coronavirus because Mayor did not close the city's trade. ",1
5900,the state of Bavaria no longer pays emergency aid to companies with up to ten employees. ,1
540,A Lisbon court found only 152 deaths have been caused by Covid in Portugal.,1
327,Colorado congressional candidate Debby Burnett says she works on the COVID-19 floor at a hospital but is a veterinarian,1
170,"According to a media report, Australia financially punishes parents who do not vaccinate their children.",1
5402,"the Argentine newspaper ClarÃ­n published an article on the new coronavirus on April 17, 2003 and suggest that it is the same virus that originated in Wuhan in December 2019.",1
6260,"during the confinement, it is forbidden to drive in a car with several - IT'S MORE COMPLICATED",1
93,"â€œBut [Benjamin Glynnâ€™s] refusal to wear [a mask] â€¦ saw him treated like a terrorist, as he tells RT.â€",1
5405,Half of adults are now being paid by the state. - THERE ARE TOO MANY WAYS TO INTERPRET THIS FOR ANY SINGLE ANSWER TO BE MEANINGFUL.,1
543,"Did the deaths finally fall in Brazil, with the pandemic cooling down? And this in a similar way in Uruguay, that is, without much connection with the vaccination rate? Does the virus follow a natural cycle?",1
801,Covid-19 vaccines are dangerous as an Australian government document calls them poison,1
5703,"Xavier Naidoo doubts existence of coronavirus and requires ""evidence"" - PARTLY WRONG. XAVIER NAIDOO STATEMENTS ARE 1 AND OUT OF CONTEXT.",1
595,A British government agency has admitted that vaccinated people are more likely to die from the Delta variant,1
99,"Germany halts all COVID-19 vaccines, says they are unsafe & no longer recommended.",1
5701,re-opening wuhan caused 1290 deaths on april 17 2020,1
90,"In August 2021, the first case of lambda was registered in Mexico, in Colima",1
5897,"leak from today's closed meeting federal government: food is running out - MOSTLY WRONG. STAPLE FOOD IN GERMANY ARE CURRENTLY, ACCORDING TO THE MINISTRY OF AGRICULTURE AND FARMERS' ASSOCIATION SUFFICIENTLY AVAILABLE.",1
5684,The Obama administration provided a $3.7 million grant to the Wuhan Institute of Virology in China.,1
169,"Employees at the White House, CDC, FDA, WHO, Pfizer, Moderna, and Johnson & Johnson are not required to be vaccinated for COVID-19.",1
580,The government in Singapore has announced the end of the COVID-19 pandemic.,1
5657,Video shows US printing banknotes during COVID-19 pandemic,1
143,"Green Pass useless after the 4,700 infections in Cornwall after the Boardmasters festival.",1
159,"The delta variant of the coronavirus ""is not showing more deaths, it is not showing more of a problem.""",1
6192,"chinese doctor made a list of tips to contain covid-19 including red-coloured soap, white handkerchiefs and cfl light bulbs; which helped china to contain the spread of the novel coronavirus.",1
145,A school is requiring unvaccinated student athletes to wear ankle monitors,1
358,Inoculation with the COVID-19 vaccine of AstraZeneca has been suspended in the Philippines.,1
357,There have been 24 reports of death after immunization with a COVID-19 vaccine.,1
5451,So goes the flattening of the curve epidemiological COVID-19 in Colombia,1
5452,"A video of hundreds of people demonstrating in Sao Paulo circulates on social networks in posts that assure that Brazil ""broke the quarantine "" due to the new coronavirus.",1
355,"In a publication on Facebook, it is alleged that in the United Kingdom, after the ""day of liberation"" (the end of most restrictions in the scope of the Covid-19 pandemic), new cases of infection ""did plummet""",1
5950,a disaster management act has been implemented under which no citizen is allowed to post any update on coronavirus.,1
353,A photo shows a woman wearing a surgical mask while in the ocean,1
352,"Moh Indro Cahyono""s statement â€œIt""s been revealed!!! COVID-19 FACTSâ€",1
151,Vaccinations against the corona virus have been in Germany since the beginning of the year. Many associate vaccination with the hope that herd immunity will soon be achieved and that the virus will not spread any further. But the chances of this are slim.,1
5954,muslims in india are manufacturing fake hand sanitisers.,1
5955,italyâ€™s spike in novel coronavirus or covid-19 numbers is a direct result of italians wearing shoes at home,1
574,SNP failed to spend Â£449 million of funding.,1
348,Costa Coffee is demanding customers show proof of medical status before you can sit in.,1
5941,information from a philippine hospital shows correlation between covid-19 and grocery shopping,1
766,The US Senate has announced that COVID-19 is a lie,1
767,The Red Cross won't accept plasma donations from people who have had the Covid vaccine.,1
161,"Employees at the White House, CDC, FDA, WHO, Pfizer, Moderna, and Johnson & Johnson are not required to be vaccinated for COVID-19.",1
782,"""You can get vaccinated depending on how much money is in your bank account and you have access to private healthcare as we are seeing in the United States""",1
370,Polling shows 75% of Australians are 'anti-vaxxers'.,1
5428,U.S. Surgeon General Jerome Adams has said that the general public should not wear or buy masks to protect against the spread of the COVID-19 coronavirus disease.,1
562,"There were 922,000 adverse reactions as a result of the Covid-19 vaccines and itâ€™s now closer to a million.",1
5964,â€œweâ€™ve been in discussions with pharmacies and retailers to make drive-thru tests available in the critical locations identified by public health professionals. the goal is for individuals to be able to drive up and be swabbed without having to leave your car.â€ - STILL IN THE WORKS,1
6206,die from the virus in pakistan's 26-year-old doctor,1
587,A Lisbon court found only 152 deaths have been caused by Covid in Portugal.,1
5963,curve spread of coronavirus in venezuela has been the fastest in the world,1
6204,"turkey has helped italy, 200,000 masks and respirators were picked up - PARTLY WRONG. IT LACKS CONTEXT. ITALY HAS BOUGHT 200,000 MASKS IN TURKEY.",1
5923,a 22-year-old man was allegedly beaten to death in delhiâ€™s bawana after he was suspected of a conspiracy to spread covid-19.,1
5932,"UK has ordered millions of tests from China and ""none works""",1
365,VACCINE RELATED DEATHS SKYROCKET ACCORDING TO CDC,1
5435,The US FDA has approved remdesivir as a treatment for COVID-19.,1
749,The US Senate has announced that COVID-19 is a lie,1
137,"In Australia, thousands of children are vaccinated at the stadium in the absence of their parents.",1
162,Brazil surpassed the United States in relation to the percentage of the population vaccinated against covid-19,1
750,Singapore has rejected Pfizer-BioNTech and Moderna mRNA vaccines in favour of Sinovac's CoronaVac jab,1
5939,"u.s. president donald trump said ""i don't care how sick you are. [...] get out and vote"" during the covid-19 coronavirus disease pandemic.",1
5940,images show mass graves being dug in new york to bury victims of the covid-19 coronavirus disease pandemic in 2020.,1
582,80% of children are not being tested for coronavirus.,1
135,Inventor of messenger RNA technology opposes its use,1
5632,"Israeli Health Minister Yaakov Lizman, who said the COVID-19 was a ""divine punishment for homosexuality,"" tested positive for coronavirus",1
6139,"hobby lobby ceo david green is refusing to close stores during the covid-19 pandemic because his wife, barbara, received a message from god saying that employees would be kept safe.",1
84,Salvini is (almost) right about the only countries in the world with mandatory vaccination,1
5868,recovered sri lankan coronavirus patient from puttlam violates health instructions and wanders in village,1
6305,"a video shows a man victim of racism in italy, who is told that he will die of covid-19 - OUT OF CONTEXT: VIDEO DATE OF FEBRUARY 2019",1
55,All vaccination posts against covid-19 in Romania have started to close,1
314,Track and Trace is costing UK taxpayers Â£37 billion.,1
6302,"amid a nationwide covid-19 lockdown, italians reported seeing wildlife such as swans and dolphins ""returning"" to newly tranquil waterways, ports, and canals.",1
512,Canadian courts revoked Covid-19 emergency orders and public health measures are now unlawful,1
837,Covid-19 clinic in Toronto lured children to accept a vaccination without parental consent by offering ice cream while police ensured guardians remained outside,1
57,MRNA vaccines have devastating results for cases in Israel,1
514,Thai PM receive 4 Covid-19 jabs,1
316,Most Covid-19 deaths in England are in the vaccinated,1
415,"They want to impose the vaccine passport, obliging the population to inoculate experimental substances without conclusive measurement of efficacy and safety.",1
212,Additional Pfizer COVID-19 vaccine doses secured by Australia from Poland may contain counterfeits.,1
211,Vaccinated people are still being hospitalised and getting sick.,1
833,Sri Lankan Minister Jeevan Thondaman hosts cricket match while the country is in Covid-19 lockdown,1
832,British Prime Minister Boris Johnson has been vaccinated with the COVID-19 vaccine three times.,1
317,We doubled the ICUs and went from 1 to 166 COVID-19 testing laboratories,1
413,"Â«BUT HOW MANY DOSES DID YOU DO ??? I ask for myself, not for the friendâ€¦. Super dosed zingaretti """,1
6295,"an image shared thousands of times on facebook purports to be evidence that israel has developed a vaccine for the novel coronavirus. the claim is 1; the image used to illustrate a vial of the new drug is originally a stock picture while the migal research institute in israel, despite having a head start, continues to work on a vaccine for covid-19.",1
63,Romania began to close all covid-19 vaccination centers in the country,1
616,Dr. Anthony Fauci said there will be 'two Americas' based on COVID-19 vaccination,1
52,COVID-19 vaccines have caused more than 400 deaths in Australia.,1
5866,"the countries with the best result in the world - korea [south], taiwan (...) - did not quarantine, no closed shop",1
5352,The receipt of COVID-19 samples at BBTKLPP Jakarta will be a holiday on Eid al-Fitr,1
856,In a video of three men tampering with COVID test kits.,1
6320,australian prime minister scott morrison to implement a nationwide shut down in an effort to curb the spread of the novel coronavirus.,1
6319,volcano eruption in the philippines in january 2020 can prevent the novel coronavirus.,1
507,"Covid vaccines have caused ""massacre"" in Europe",1
219,Demonstrations against Covid-19 laws in Greece and France,1
5339,Supermarket retailer Kroger sent letters to employees informing them they must repay overpaid emergency pay provided amid the COVID-19 coronavirus disease pandemic.,1
855,Brazil has became part of the elite of only five countries that produce vaccine against Covid in the world,1
6314,"airforce italy encouragingly against the coronavirus with ""nessun dorma""",1
6313,amlo recommended following statement embracing the coronavirus pandemic,1
519,"Come August 1, people in France will not be allowed to purchase food from supermarkets unless they are vaccinated.",1
5750,pakistani soldiers hunting for escaped covid-19 patients.,1
5860,indian school textbook by ramesh gupta lists treatments for covid-19,1
620,Citizens of Hungary 'live freely' despite Covid-19 unlike in Sri Lanka,1
5348,University of Chaves discovers the cure for Covid-19,1
5349,"Teenage climate activist Greta Thunberg appeared on a CNN ""expert panel"" in a program about the COVID-19 coronavirus pandemic.",1
5519,Audio Roberto Zeballos in WhatsApp says coronavirus came from China lab,1
619,PHE released a report revealing 62% of Covid-19 deaths are people who have been vaccinated.,1
848,Brazil has became part of the elite of only five countries that produce vaccine against Covid in the world,1
618,"It is satisfactory to report that of the 20 million 613 thousand workers registered in Social Security, before the pandemic; 1,395 thousand were lost, but we have already recovered 957 thousand 248. So we only have 438 thousand 156 left to be as before the health crisis. We are going to achieve this in the next three months",1
5865,no democrats voted for the coronavirus stimulus measure,1
6311,zero deaths and only 20 infections in russia for shielding borders in the first minute and put the tourists quarantined,1
830,Covid-19 has never been isolated in a laboratory. It has never been proven to exist.,1
5370,Police Positive Covid 236-19 and 6 People Died - 2,1
411,The mandatory Covid-19 vaccine has been passed through the House of Lords without an impact assessment having been carried out.,1
5499,Video shows mosque gathering in Gujarat during Indiaâ€™s nationwide COVID-19 lockdown,1
5383,The purported message states that the nurse has observed COVID-19 patients who died of other causes were included in the cityâ€™s COVID-19 death tolls. ,1
72,Afghan refugees will receive ivermectin before coming to the US,1
5385,The US FDA has approved remdesivir as a treatment for COVID-19.,1
6280,janta curfew will break the chain of coronavirus spread and see reduction of 40 per cent cases.,1
5892,this video shows a detector dog after it was assaulted during a covid-19 security check,1
202,"Covid-19 vaccines have killed 18,928 people in the EU, more than 11,405 people in the US, 1,470 people in the UK and 5,522 people in Scotland.",1
77,Japan has approved ivermectin as Covid-19 treatment,1
5893,malaysia distributes money to all citizens and waives electricity bills for six months during coronavirus pandemic,1
526,COVID-19 vaccines caused 895 serious reactions among military veterans,1
78,A study in Israel has found that natural immunity is 13 times more effective agains the Delta variant than COVID-19 vaccines,1
533,"Local government units have the discretion to require COVID-19 tests for incoming tourists, even those fully vaccinated.",1
5497,"Prisoners released in Argentina coronavirus COVID-19 but in the US, Italy, Spain and China are prisoners",1
6135,"home tests for the new coronavirus will be available in days. - THIS WAS SAID BY THE DIRECTOR OF THE NATIONAL INFECTION SERVICE AT PUBLIC HEALTH ENGLAND. HOWEVER, MEDICAL EXPERTS AND POLITICIANS HAVE SINCE SAID THE NEW TESTS WILL NOT BE READY SO SOON.",1
6271,people rioting on the streets of london due to economic crisis in the wake of coronavirus outbreak.,1
82,42 people in Batangas who were fully vaccinated against COVID-19 have died,1
813,Brazil has became part of the elite of only five countries that produce vaccine against Covid in the world,1
5716,"Bats are pictured on the reverse of a U.S. quarter issued in 2020, an indicator that COVID-19 is connected to a government plot.",1
83,Afghan refugees will receive ivermectin before coming to the US,1
6138,"Image of fully stocked shelf is from 2009 during the Swine Flu epidemic, while panic buying during novel Coronavirus outbreak leaves shelves empty.",1
5389,Thailand has â€œranked no. 1 in the COVID-19 fight categoryâ€ based on an international health security and preparedness index,1
5523,"In India, people who donâ€™t wear masks are put into a van that has a COVID-19 patient",1
715,Kamala Harris vaccination video to be rigged. The needle was not to be used during the procedure.,1
821,â€œThe MHRA now has more than enough evidence on the Yellow Card system to declare the COVID-19 vaccines unsafe for use in humans.â€,1
5735,"a video documents a hot-mic exchange between fox news reporter john roberts and a ""fake news tech"" in which they admit covid-19 was a hoax, and that everyone in the news media has already been vaccinated.",1
828,â€œPassengers on first fully vaccinated [...] cruise ship test positive for COVID-19. Almost like the shot is useless.â€,1
5994,a video shows a member of the maasai tribe whipping people in kenya who refused to obey the government's self-quarantine orders during the covid-19 pandemic.,1
409,Vaccination has caused several thousand deaths in Europe according to the EMA,1
408,"Covid vaccines have caused over 17,000 deaths in Europe",1
5505,"As of April 25, 2020, the rate of people dying from the COVID-19 coronavirus disease in New York City was at least 250 times ""higher"" than Tokyo's â€” and growing with time.",1
5880,"Donald Trump says Joe Biden protected Chinaâ€™s feelings during the coronavirus outbreak, saying ""it is in our self interest that china continue to prosper."" - OUT OF CONTEXT, SAID THAT IN 2011",1
607,More Australians die from covid-19 vaccines than from coronavirus,1
826,Israel has found a cure for Covid-19 which will eliminate the need for vaccination.,1
69,"Employees at the White House, CDC, FDA, WHO, Pfizer, Moderna, and Johnson & Johnson are not required to be vaccinated for COVID-19.",1
5884,"muslims in india are offering namaaz in groups on rooftops during lockdown, ignoring social distancing.",1
524,WÅ‚odzimierz Bodnar healed thousands of people suffering from COVID-19 with the use of amantadine.,1
5885,"dr. anthony fauci said there was ""nothing to worry about"" in late february 2020 in regards to covid-19 and it was ""safe"" to do things like go to the movies and the gym.",1
823,"More than half of myocarditis cases caused by COVID-19 vaccines occur in those aged between 12 and 34, yet this age group has a COVID-19 recovery rate of 99.99%",1
713,Mandatory vaccination has ended (...) A resolution of the Council of Europe has been voted that prohibits States from obligating vaccination against the coronavirus,1
206,"On August 14, 2021, the first fully vaccinated COVID-19 patient in Greece died.",1
5378,India ensured there was no starvation during the coronavirus pandemic in the country,1
5379,Thailand tops the Global Health Security Index in COVID-19 response.,1
